timestamp,move_number,side,move_uci,fen,depth,nodes,qnodes,cutoffs,tt_hits,tt_probes,max_ply,max_qply,time_ms,eval_cp
2026-02-16T15:29:28.137386,1,white,g1f3,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,7,8837,7232,1725,977,8834,8,15,1222,28
2026-02-16T15:29:28.625831,2,black,g8f6,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,7,3771,3084,561,472,3768,8,12,488,0
2026-02-16T15:29:31.534134,3,white,e2e3,rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2,7,16842,17568,3474,1075,16838,8,19,2908,26
2026-02-16T15:29:33.430779,4,black,b8c6,rnbqkb1r/pppppppp/5n2/8/8/4PN2/PPPP1PPP/RNBQKB1R b KQkq - 0 2,7,13087,11975,2008,927,13084,9,13,1896,7
2026-02-16T15:29:39.895672,5,white,d2d4,r1bqkb1r/pppppppp/2n2n2/8/8/4PN2/PPPP1PPP/RNBQKB1R w KQkq - 1 3,7,33079,39580,6307,1104,33074,9,17,6464,27
2026-02-16T15:29:41.206374,6,black,e7e6,r1bqkb1r/pppppppp/2n2n2/8/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,7,8868,8187,1414,724,8865,10,14,1310,10
2026-02-16T15:29:43.055160,7,white,b1c3,r1bqkb1r/pppp1ppp/2n1pn2/8/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq - 0 4,7,10641,11655,1689,771,10638,9,15,1848,22
2026-02-16T15:29:44.316316,8,black,f8e7,r1bqkb1r/pppp1ppp/2n1pn2/8/3P4/2N1PN2/PPP2PPP/R1BQKB1R b KQkq - 1 4,7,8283,8212,1124,730,8279,9,21,1261,11
2026-02-16T15:29:46.477050,9,white,f1b5,r1bqk2r/ppppbppp/2n1pn2/8/3P4/2N1PN2/PPP2PPP/R1BQKB1R w KQkq - 2 5,7,14332,13840,1709,784,14328,9,17,2160,13
2026-02-16T15:29:47.349514,10,black,e8g8,r1bqk2r/ppppbppp/2n1pn2/1B6/3P4/2N1PN2/PPP2PPP/R1BQK2R b KQkq - 3 5,7,5465,5588,824,306,5462,8,12,872,-1
2026-02-16T15:29:49.563672,11,white,e1g1,r1bq1rk1/ppppbppp/2n1pn2/1B6/3P4/2N1PN2/PPP2PPP/R1BQK2R w KQ - 4 6,7,11989,14266,1543,769,11986,8,22,2214,2
2026-02-16T15:29:50.563109,12,black,d7d5,r1bq1rk1/ppppbppp/2n1pn2/1B6/3P4/2N1PN2/PPP2PPP/R1BQ1RK1 b - - 5 6,7,5668,6886,566,312,5665,8,22,999,2
2026-02-16T15:29:52.662672,13,white,a2a3,r1bq1rk1/ppp1bppp/2n1pn2/1B1p4/3P4/2N1PN2/PPP2PPP/R1BQ1RK1 w - - 0 7,7,10139,13899,1594,390,10136,8,22,2099,7
2026-02-16T15:29:53.960535,14,black,c8d7,r1bq1rk1/ppp1bppp/2n1pn2/1B1p4/3P4/P1N1PN2/1PP2PPP/R1BQ1RK1 b - - 0 7,7,7532,8691,1021,599,7529,8,16,1297,-2
2026-02-16T15:29:57.762484,15,white,b5d3,r2q1rk1/pppbbppp/2n1pn2/1B1p4/3P4/P1N1PN2/1PP2PPP/R1BQ1RK1 w - - 1 8,7,13805,25756,2433,584,13802,9,21,3801,10
2026-02-16T15:30:02.098561,16,black,a8c8,r2q1rk1/pppbbppp/2n1pn2/3p4/3P4/P1NBPN2/1PP2PPP/R1BQ1RK1 b - - 2 8,7,20425,29841,2770,1415,20408,9,24,4335,4
