timestamp,move_number,side,move_uci,fen,depth,nodes,qnodes,cutoffs,tt_hits,tt_probes,max_ply,max_qply,time_ms,eval_cp
2026-02-16T15:26:35.698645,1,white,g1f3,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,6,4423,3383,1029,415,4423,7,13,627,0
2026-02-16T15:26:36.123125,2,black,g8f6,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,6,2907,2358,823,255,2907,7,11,424,28
2026-02-16T15:26:36.405511,3,white,b1c3,rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2,6,1870,1697,369,196,1870,7,11,282,0
2026-02-16T15:26:37.623510,4,black,d7d5,rnbqkb1r/pppppppp/5n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 3 2,6,6398,7274,1288,316,6398,7,18,1217,20
2026-02-16T15:26:38.070490,5,white,d2d4,rnbqkb1r/ppp1pppp/5n2/3p4/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 0 3,6,2435,2850,446,176,2435,6,18,446,3
2026-02-16T15:26:38.793027,6,black,b8c6,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 0 3,6,3633,4620,642,163,3632,7,17,722,20
2026-02-16T15:26:42.100985,7,white,c1f4,r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 1 4,6,13575,20744,2513,606,13575,8,30,3307,13
2026-02-16T15:26:43.374411,8,black,c8e6,r1bqkb1r/ppp1pppp/2n2n2/3p4/3P1B2/2N2N2/PPP1PPPP/R2QKB1R b KQkq - 2 4,6,5395,8153,864,211,5395,8,16,1273,21
2026-02-16T15:26:43.947061,9,white,e2e3,r2qkb1r/ppp1pppp/2n1bn2/3p4/3P1B2/2N2N2/PPP1PPPP/R2QKB1R w KQkq - 3 5,6,2990,3623,551,238,2990,8,14,572,21
2026-02-16T15:26:46.622906,10,black,f6e4,r2qkb1r/ppp1pppp/2n1bn2/3p4/3P1B2/2N1PN2/PPP2PPP/R2QKB1R b KQkq - 0 5,6,13308,17269,1984,466,13307,8,19,2675,27
