fen,eval_cp
1rbqkb1r/ppp2p1p/n2Qp2p/8/4P3/2NP4/PPP2PPP/R3KBNR b KQk - 0 7,731
rnbq2nr/pp1p1kpp/4pp2/2p5/1P6/3P4/NPP1PPPP/R1BQKBNR w KQ - 0 6,617
1nbqkbr1/6p1/rp2pp2/p2p4/Pp5p/n1P3BB/4PP1N/1N1K3R w - - 0 21,-1023
r1bqk2r/pppn1ppp/5n2/4N3/1B1Q3P/6P1/P1P1PP2/RN2KB1R b KQkq - 0 8,-211
kr6/3p1p2/4p1p1/P6p/4PPnP/2P2K2/1B5P/5bNR b - - 1 27,663
r4n2/5kBp/3pp3/p1p5/2P1PP2/1q4PB/P2PK2P/R3Q1N1 w - - 0 21,736
7r/2k5/n1p3p1/1p1p4/3P4/2p5/4n1K1/8 w - - 0 41,-967
r7/1k2p2p/2p3bn/6pP/8/2P1BP1K/1p6/8 b - - 5 37,815
r1b1kbnr/pp1ppppp/n1p5/q7/3P4/5NPP/PPP1PP2/RNBQKB1R w KQkq - 1 5,137
rq1k1bnr/p2p2p1/3N4/1p2p2p/1p6/3P3P/P2NPPB1/R1BQ1K1R w - - 0 14,713
8/1r3k2/4R3/7R/1n3P2/P1P5/5P2/4K3 w - - 1 39,536
rn6/pp2b2p/2P1kp1p/8/2K1PqP1/8/PP6/RQ4NR b - - 0 22,402
rn1q3r/1pp1p3/p2p2kp/P4bp1/2P1P1B1/1P4PP/3P4/b1B1K1NR w K - 0 15,-582
1nNqkb1r/1p2pp1p/r1pp2bn/6p1/8/2P2P2/PP1PB1PP/R1BQK1NR w KQk - 3 9,-285
7r/r2b1n1p/p2Nk1Bb/4p1p1/PQ4N1/4K3/1P2P3/R7 b - - 3 29,-489
rnbqkbnr/ppppp1p1/7p/5p2/2P5/P1N5/1P1PPPPP/R1BQKBNR b KQkq - 3 5,-69
r6r/5k2/1p2N1b1/p1p3B1/PP5P/8/5P1n/1R2K3 w - - 2 29,-609
1n3bnr/r2bpkp1/1qp4p/p7/5PP1/P1PP4/2Q1P2P/RNB1K1NR b KQ - 0 13,199
2k5/1p1Bbnpr/8/4p3/3n4/1PK2P1p/7P/6NR b - - 0 31,765
rnbqk1nr/ppppppbp/6p1/8/1P6/6P1/P1PPPP1P/RNBQKBNR w KQkq - 1 3,-8
4R3/p1p1k3/6p1/2P1p1p1/P5p1/4p3/R1KBn3/4rB2 b - - 2 38,-468
r5k1/pBp5/8/8/1r6/B1P5/K1b3Pn/R7 w - - 7 37,56
R7/5pnk/8/4prp1/8/4PP2/4Q1B1/3K4 b - - 4 37,-574
rn1q1bn1/pbpppkpr/8/5p1p/p2P3P/P1PN4/1P2PPP1/RNB1KB1R b KQ - 0 8,704
2bqk1nr/2p1p3/2r4b/p2pPp2/p4p2/1PP4P/4PK1P/RN3BBR b k - 0 19,794
rnbqkb1r/p1ppp2p/7B/1p3B2/7P/2NP1Np1/PPP1PP2/R2QK2R b KQkq - 0 10,-157
r1bq1knr/p1ppp2Q/8/1p3p2/3b4/1P6/P1PK1PnP/R4B1R w - - 2 18,-621
1r1q4/p3nk1p/1pp3pB/3p4/P7/2N3NP/2RQP1P1/5BKR b - - 8 28,-886
8/8/p4p2/4p2k/4P1p1/5K1P/5P2/8 w - - 0 41,-557
rnbk3r/pp2npp1/3p4/5Q1p/P1p1p3/1P1PP2P/3NNPP1/2b1KB1R w K - 0 14,296
r1bqkbnr/1ppppp2/n7/p5B1/3P3p/N6N/PPP1PPPP/R2QKB1R w KQkq - 0 6,192
6n1/7r/3k4/7P/pP1b1P2/3r1N2/4P2K/5B1R b - - 0 32,451
r3kb2/pppq1pp1/2np3n/7P/8/1P1Q4/P1P2PB1/RN2K1N1 b Qq - 0 13,187
4k3/Bpn1n1r1/6p1/3p4/P2P1P1p/7P/P2KP3/RN3B2 w - - 0 25,596
rnbqkb1r/2pppppp/pp3n2/8/1P5P/3P1P2/P1P1P1P1/RNBQKBNR b KQkq - 0 4,191
8/p3k1p1/8/8/1P2P3/4nK2/2P5/3R2N1 b - - 3 34,-101
rnb1k1nr/pppp1p2/2q5/4p1pp/1b6/2N3P1/P1PPP1BP/R1BQK1NR w KQkq - 0 9,367
7r/3k2Bp/8/pp3p2/nr4P1/4P3/2bPN2P/5RK1 b - - 0 31,655
5k2/1p2pp2/2b2n2/5P2/1P1B4/N1PP4/2RKP3/8 b - - 4 30,-673
r1bqkbn1/p6r/n3pB1p/1p1p2N1/Np4P1/8/P1PPPP1P/R2QKBR1 w Qq - 0 11,459
8/1p3k2/3p1p2/1P1P3b/p7/p2P1B2/P7/b4KN1 b - - 0 39,267
rnbq1bnr/1pppkpp1/4p2p/p7/8/2P2NPP/PP1PPP2/RNBQKB1R w KQ - 0 5,85
rnb1kbBr/pp1pp3/2p2p2/4q2p/4Q3/N7/PBPP1PPP/R3K1NR b KQkq - 7 10,799
Qn1k1bn1/p1q1p1pr/2pp1p2/7p/1P1P4/N1P1P2P/R4PP1/2B1KBNR b K - 0 11,-763
3k2B1/1p1n4/2R5/r7/pPp5/2P2N2/P3KP2/R7 w - - 0 33,791
r1b1kbnr/1pp1p1p1/n7/5p1p/2P2P2/8/PP1KP1PP/RNB2BNR w kq - 0 8,38
r1b1kb2/p1p1p3/2N2p2/P1p4p/2p1PP1P/8/P4Qr1/RNB1K2R w KQq - 0 19,903
rnbq1bnr/pp2p1pp/3k4/5p2/2Q2N2/2P5/PP1PPPPP/R1B1KBNR w KQ - 4 9,579
r2q1bnr/p1pbpkpp/1pn5/3p4/8/1P4P1/P1PPPP1P/RNBQKB1R w KQ - 0 6,-332
Bn5q/p1p5/6kn/3Prb2/1b6/N6p/P5P1/R2K2R1 b - - 5 30,5000
r1bqkb1r/p1pppppp/np6/8/3P3P/2P2P1N/P1P1P1P1/R1BQKB1R b KQkq - 0 6,-20
rn2k3/p2b3p/4p2P/2P2p2/2Pp1PP1/3P4/4K3/1NB3NR b - - 0 24,-390
r2qkbnr/pp2pp1p/3pb3/2p3p1/1P6/P2R1PP1/2PP1P2/RNBQKBN1 w Qkq - 0 11,423
r1q3nr/p1p2k2/1N2pp1p/6PP/1B6/8/PP2N3/R3KB1R b KQ - 0 19,254
rn1k4/4n3/pp4p1/4p3/PP6/4PR1B/2P5/1KB5 b - - 6 33,-250
r3kb1r/p2pp1p1/n7/2p2p1p/3P1PnP/2P3N1/PP1K4/R1B2q2 b kq - 1 17,1155
3r1bn1/6k1/pp1p4/6pr/6B1/8/PPPK1P1P/5RNR w - - 4 21,525
1nq1kbn1/r3p1pr/p1p2p1p/3p4/2P1P3/2N5/PP1PNPPP/R1BK1B1R b - - 1 9,522
r1b1kb1r/pp1ppppp/n7/2p3P1/1PNP2n1/6KB/P1PNP3/R1BQ4 b kq - 2 14,-355
r4rk1/p1p4p/2p5/4p2P/6P1/2P1b3/P6K/R6R b - - 1 23,475
1n2rb2/6pk/1rP2p1B/1N2p3/PP6/6P1/7P/R3K1NR b KQ - 2 25,-5
2b1kb1r/3n1ppp/2p5/rp6/2PB4/5PP1/P3P2P/RN2K1NR w KQk - 0 13,-3
rnbk1b1r/3Bpp1p/p6n/1p6/1q6/2P2NP1/P1P1P3/RQ2K2R w Q - 1 14,269
rnbqk2r/2pppp1p/5b1n/pp4p1/7P/4P3/PPP1QPP1/1R2KBNR b Kkq - 0 9,680
1rb1k2r/p1p3pR/8/1N1ppp2/1b3P2/1PP5/P2P2B1/R1Q1K3 b Qk - 0 17,-597
r3k2r/pp3ppp/2nb1n2/2pp4/4PB2/P1PP3b/1PQ1KPq1/RN3BR1 b kq - 3 12,785
1n3b2/8/8/1pp1Pp2/k3b3/P7/1P1B4/RN2K1R1 w - - 0 36,640
rnbqk1nr/ppp4p/3pppp1/8/P1P5/2N1bP1P/4PKP1/R1BQ1BNR w kq - 2 8,369
r3kbr1/p1p1n1pp/1pn2p2/8/P1P3b1/7P/Rq1PP3/1NBQKB1R b q - 0 15,559
rnbqkbnr/1pp1pppp/3p4/p7/4P1Q1/P7/1PPP1PPP/RNB1KBNR b KQkq - 1 3,662
r1bq2n1/n2B1k2/p7/6p1/4P1P1/7r/P5R1/R4K2 w - - 1 30,-750
8/6k1/8/4p1K1/1P1P4/4P2N/P1P2BBP/1R5R w - - 2 34,1157
r1b2bnr/1pp3pp/p2pk3/8/8/P1N2P1P/1P1PPR1q/R1B1KBN1 w Q - 0 14,589
1r1qkbnr/pppbpp1p/3pB3/4n3/1P3p2/N3P1P1/P1PPN2P/R1BQK2R w KQk - 6 10,-36
6nr/1b6/5p2/3kp1Qp/p3n2P/NP1P2P1/P1P5/1RK2BNR w - - 4 31,991
r1bqkb1r/ppppp2p/5p2/2P2P2/7p/P3BN2/2P1P1PR/RN1QK3 w Qkq - 0 11,504
7r/p5p1/1pP2k2/2n4p/2PP4/8/4NKR1/8 b - - 2 35,-16
r7/3PB3/p3NNk1/1p6/8/6b1/P2PP3/1K1Rn3 w - - 1 30,666
r7/pp1Br1kp/5p2/6p1/8/2qKP3/P2P3P/R1R5 w - - 2 30,-145
1r2k1n1/2p1b1p1/np3pp1/p7/P2P4/5P1P/RP2K2P/1NBQ4 b - - 0 16,-525
2b1kB2/5p2/nppp1n2/5r1P/P2Pp3/N4N2/P1P2PPR/3KRB2 b - - 5 20,-504
r2k2n1/p4pp1/8/1p6/8/P3Pb2/1P2N2r/R3K3 b - - 1 23,889
rn1qkbnr/ppp1pp1p/3pb1p1/8/6P1/4P3/PPPPNP1P/RNBQKB1R w KQkq - 1 4,37
rnbqkb1r/p1pp1ppp/8/1p1PN3/5p2/2P3P1/PP1KPP1n/RN1Q1B1R b kq - 1 9,517
b2r4/7p/7k/3p4/PnP2PQ1/8/4P1P1/4KBN1 w - - 1 34,5000
r2k4/8/1N1pr3/p3Pbq1/P1P5/7P/6P1/b2K1BR1 w - - 1 39,-683
5n2/p1p2kp1/6rn/PpP1KBBp/7P/2P3P1/1Pr1N1R1/6R1 b - - 13 26,-438
1nb1k1n1/1p6/2p2pp1/3P4/r7/3P1B2/1P1K4/5R2 b - - 0 32,548
r3kbnr/p3p2p/1p4p1/n2p2B1/qP2p2P/P2P2P1/8/RN4KN w kq - 0 20,-781
rn3b2/1p2k3/pN6/5pp1/1p2P2r/P2Pb2P/2P5/RK3B1R b - - 0 23,600
rnb4r/pp3p2/P2kp1p1/7p/8/N2P3n/1PPK1b1P/R1Q2R2 w - - 0 21,394
Rnbq1knr/2p5/1P1pp3/7p/1Q1P2p1/6PN/1PP1PP2/1N2KB1R w K - 0 14,717
1nb2b1r/3k2p1/3p3P/5p1P/3Q4/1p1PpB1N/6KR/8 b - - 2 33,-482
4kb1r/3ppp2/2np2pp/R3P3/2q5/8/3P1PPP/2B1K1Nn b k - 1 16,913
2k2b2/6p1/3p1n2/4p2p/P7/2p5/4K3/8 w - - 0 38,-792
Bn6/3kp3/p2p1p2/1b6/5B2/1P1P3p/5N1P/1N1K2R1 b - - 1 28,-735
q3kb1r/r1p1nppp/2bpp2n/1p6/1P5N/B2PP2P/P1P2P2/R2QKB1R w Qk - 1 15,-643
8/3kp3/1p6/p1P2Pb1/P4R2/3B4/4KP2/7q w - - 1 34,-345
rn4nr/5k2/2q1b2p/8/1PB2PPP/8/P1P5/R3K2R b KQ - 1 22,913
4kr2/5p2/4p1pp/8/1Bn1P1P1/7P/2P3K1/5R2 b - - 3 32,-7
r1bq1Bkr/2p1p2p/p4p2/1p2P3/8/P1P2B2/RP3R2/1N2K1N1 b - - 0 25,396
6n1/n7/3kpp2/1q5R/8/4P2N/3P1P2/4K3 b - - 1 34,621
r1b2bk1/p7/n2p1pq1/8/1P6/3P4/P7/3RK3 w - - 3 31,-813
rnbqkbnr/ppppp1pp/8/8/2P3p1/5P2/PP1PP2P/RNBQKBNR b KQkq - 0 3,225
5k2/pppB1p1p/5P2/3p4/2P5/P5r1/5K1P/RNR5 b - - 0 27,-636
1nb1k3/6br/6p1/4p2p/2N1P2P/P1P5/8/R3K2R b - - 5 33,171
r2qk1nr/pbpp3p/5p2/8/4p2P/4P1pB/1PPP4/R1BQK1NR w KQkq - 0 12,637
1nb2b1r/r1p2pp1/2pqkn2/p6p/3P4/8/PP1NPPPP/R1BQKB1R b KQ - 1 12,308
r1b1kbn1/p7/p7/q1n1p1p1/4P3/N7/P1PP1P2/1RB1K1N1 w - - 0 15,-744
1n2kbnr/1b5p/3pp3/2PP1p1R/1q2N1P1/r7/2PBP3/3QKBN1 b k - 5 19,420
r2qkbnr/2pnpp1p/1p6/1N1p2pb/p7/2P4P/PP1PPP2/1RBQKBNR w Kkq - 0 9,-267
rn3rk1/1p6/8/p1p2p2/2P4B/1P1PP3/4B1PP/1R1K2NR w - - 0 22,765
N5r1/p3kp2/5p2/7p/2N3pP/8/2n2KP1/5R2 b - - 0 26,286
r6k/p4r2/n1p3p1/4pB2/P1P5/q2P2n1/1PQ1PP1P/R3K2R w KQ - 0 18,718
8/1p4pr/p1R2n2/1P2p2p/3pP1kP/3P3N/8/K4B1R w - - 1 38,545
rnb2kn1/4p3/8/p2p2P1/1pB1P3/P3R3/2P2PPN/1N1K4 w - - 0 26,502
r1bq2k1/1ppp3r/B3p1pn/n3Qp1P/4P2N/2PPb3/PP1B1P1P/RN2K2R w KQ - 1 15,213
rn6/4pp2/4b1P1/1ppk4/4n2K/1PP5/5P1R/R1B2B2 b - - 0 30,197
r1bq1bnr/1ppp2pp/p2k1p2/4p3/Pn6/5PP1/2PPP1BP/RNBQK1NR w KQ - 0 8,33
1n2kb1r/rb4pp/3p1p1n/Qp6/5P1P/3P4/PP2P1P1/R1BK1B1R w k - 1 15,779
4k3/8/1p5B/5pp1/1P6/1P3PP1/3K4/8 b - - 1 40,-623
r2qkbnr/R3pppp/3p4/1Pp5/2B5/1PP1PN1b/3P1PP1/1NBQK1R1 b kq - 1 12,-416
r4knr/2pb1p2/1Q2p2p/p6P/B1P5/7N/3KN3/3R4 w - - 5 35,647
1Rb3n1/3pk3/5p1r/3p4/p2P2Pp/4BP1P/P1K1P3/5B1R b - - 4 29,-615
1r3bkr/6pp/ppnpp3/3B4/q1P1Np2/1P1PB3/6R1/3Q1KR1 b - - 1 25,-559
r1bqkbnr/pppppp1p/2n5/6p1/8/P6P/1PPPPPP1/RNBQKBNR w KQkq - 0 3,88
rnbqkbnr/ppp1ppp1/8/3p3p/7P/2P1P3/PP1P1PP1/RNBQKBNR b KQkq - 0 3,86
r1r5/2k1p2p/p1p5/3p2P1/1P6/P3KP1P/R2BP3/5B2 b - - 2 28,-434
rnb3nr/3p1k2/4p2b/2P5/1p2K1P1/p3P2q/PPP1R3/RNBQ4 b - - 1 17,791
1n1qkbnr/1bpppp1p/6p1/8/3P1N2/4P3/rPP2PPP/RNBQK2R b KQk - 1 6,606
3k1b2/4p2p/8/p1p5/3p4/3B4/6rP/4RK1n b - - 8 36,468
7r/r2kn1pp/p1n2p2/8/Rq2b1PP/2N4R/2P2K2/5B2 b - - 1 24,833
rnbqkbnr/1pp1pppp/3p4/p7/6P1/7B/PPPPPP1P/RNBQK1NR w KQkq - 0 3,-26
r1q2r2/p1pkn1p1/2n5/4pp2/PQ5N/8/PB1P1PPP/4KB1R w K - 3 17,-18
2rqk1nr/p2p1ppp/b1P1p3/2b5/2p1P1P1/8/P1PP1P1P/RNBQ1RK1 w k - 3 11,-541
r5kr/p1pn4/n1p4p/2Np4/2Q5/P6b/1PPP2NK/R1B5 b - - 1 30,472
r4k2/3b4/p1n2n2/2p3pp/2P2P1P/5P1R/1P1P4/2BK1BN1 b - - 0 24,206
7r/5Rkp/1n4B1/8/4P2P/1P2pPP1/8/4K2R b K - 4 37,-525
r2qkb1r/pb1ppppp/1pp2n2/2n5/2PP1P2/P3B3/1P2PKPP/RN1Q1BNR w kq - 3 7,0
rn1qkbnr/pbp1p2p/1p3p2/3p2p1/3P2P1/N6P/PPP1PP2/1RBQKBNR b Kkq - 0 6,86
r1bqkbnr/1pppppp1/p1n4p/8/2N5/8/PPPPPPPP/1RBQKBNR w Kkq - 0 4,-53
rnbqk1nr/ppp1ppb1/8/3p3p/3P1P1R/8/PPP1PNP1/RNBQKB2 b Qkq - 0 6,236
rnbqkbnr/p1pppp2/6p1/1p5p/8/2PBP3/PP1P1PPP/RNBQK1NR w KQkq - 0 4,134
4rb1r/p2np2Q/7p/P3k3/1p3p1P/B2P1pP1/2RP1K2/6NR b - - 1 27,-8
1n1k4/5pp1/2pr4/p2p1P1p/P7/1P6/4r3/1K3R2 b - - 9 40,904
6nr/r1k5/1pn1p2p/2pp4/N7/4PP1P/1B1b2B1/R2K2N1 w - - 2 29,-221
r1k2bnr/pb2pppp/B7/2p3P1/4P2P/1PN5/n1PB1P2/R3K1NR b KQ - 0 15,-212
6n1/3n4/k7/3P4/P3PKP1/8/2P4r/2B5 w - - 1 39,-295
r1bk4/1p1p1p2/p1p5/2P2Pp1/B6p/2P1PP1P/P3N2K/RNBQR3 b - - 1 22,-1010
2R2bn1/3p1k2/3p4/p1Bb4/6P1/P2P1N2/3K1P1R/5B2 b - - 2 31,-704
r1bkr3/2p5/p1p5/4p1p1/8/3P1PP1/7N/3K1B2 w - - 0 28,-692
r1b1kbnr/p1p1p1pp/n7/3p2p1/1P1P3P/N1P1P3/2Q2PP1/R1B1Kq1R w KQkq - 2 13,532
r1b1kr2/p7/1p3Pp1/2pP3p/P3P3/1NQ1P3/1P1K4/R4B2 b - - 0 25,-761
2bqk2b/2p1p3/np3pp1/3p4/4P1P1/1P6/P1PPKP2/RNB1N3 w - - 1 15,-553
1Q5r/6kp/3Bb3/r7/3n2p1/1PP5/P4P1P/2R2KNR w - - 3 30,766
2b2br1/1p1p1k2/n2p4/r7/P6P/p1p1PK1R/2PPB3/2BQ2N1 b - - 1 24,-147
r1bq1b1r/ppp1p1p1/n4k2/5p2/Q1PP2P1/3PB2P/PP1R1P2/2K2BNR b - - 0 12,-398
rq2kbnr/1p1npp1p/N7/1B4p1/P1b1P3/8/1PPP2PP/R1BQK1NR w KQkq - 1 10,663
4k3/1p3p1p/p1nBb3/6p1/8/P6P/1P2PPP1/1R2KBNR b - - 0 17,-838
N7/3kRpp1/P2p4/P7/3P4/5q1N/2P4K/8 b - - 0 38,388
rN2kb2/2p2p2/3p4/P3p3/1Pp1B3/1Q1q1P2/3P1KP1/R1B3N1 w q - 1 25,829
5bnr/6p1/2kp1p2/p4P2/4N2p/2n5/8/K2b1R2 b - - 5 37,824
4k1nr/p2np1b1/1p3p1p/1Pr5/3PP3/P4P1P/RBqN4/3Q1BK1 b - - 0 19,622
r1b3nr/1p1k1p2/p1p1p3/7p/1P5B/5nP1/2P1N1KP/R4B1R w - - 0 22,372
8/5k2/n2p1p1p/1N6/8/2RPP3/2P1P2P/2QK2N1 w - - 0 32,964
1nbq1bnr/1p3pp1/3k3p/1BpPp3/5P2/2P4N/2RP2PP/1NBQK2R w K - 2 11,683
rn2kbn1/p1p1pp2/p2p2pr/3b4/1P3NPp/2P5/P2P1P1P/1RBQK1NR w Kq - 0 16,811
r1bqkbnr/ppppp1pp/2n2p2/8/8/P1N4N/1PPPPPPP/R1BQKB1R b KQkq - 1 3,39
1nb1k3/rp1pb3/7n/8/PP1pp2N/8/8/1R5K b - - 2 27,797
rn1qk2r/1p4bp/p1bp1p1n/PBp3p1/1P3P1N/2N5/2PP2PP/R1BQKR2 b Qkq - 5 12,512
rn3br1/pn1qpp2/6p1/1b1pk3/PPB5/4P3/3P1KPP/RN5R w - - 2 20,-546
2r3n1/p1k5/p4p2/5p2/4p3/P7/1PPN1K2/R1B3N1 w - - 0 24,501
1r6/1B1k1p2/7p/8/1BPQ3P/P7/n1K1P3/R7 b - - 0 31,-897
3b2nr/7p/5p1p/P3p1k1/1P6/3N3P/2N1K3/8 b - - 0 39,495
rnb1k2r/pp5p/2p1Bp1n/6p1/P3p2N/6bP/1PPK1P2/RNBQ3R b kq - 0 12,-393
rnb5/5k2/p1q1R3/1p1p1pP1/Pp1P4/4R2B/1P2P3/4KN2 w - - 0 31,42
r1k2bnr/p3p3/1Q5p/3p1pp1/P7/4pPPB/2n1P2P/1R1K2NR w - - 0 17,5000
1n5r/rpp1p2p/p2p4/5k2/1P1P1q2/P6P/2PNPP2/R2QKBR1 w Q - 2 19,814
rn2kbnr/p1pppp2/q7/6pp/1P1P4/2NQ4/P3KPPP/R1B2BNR b kq - 2 9,-437
r1b1kb1r/p1p3pN/1P5n/3ppQ2/8/6K1/PP1PP1P1/RNB2B1R b kq - 2 11,-237
1n2k1n1/7r/p2Qp1p1/7p/2b4P/B5P1/PQ1P1KB1/R5N1 w - - 0 23,5000
rnb2rk1/6pp/ppp2p1B/3p4/PP1NP3/3P4/2P1K1PP/b2Q1B1R w - - 0 16,618
2b2bn1/3kp2r/2n3p1/1B5p/8/5r2/P2P1KPP/R1BQ2R1 w - - 0 17,833
rnb1k1nr/2ppBppp/8/p7/4p3/1P2P3/2PP1Pq1/RN1QK1N1 b Qkq - 1 10,823
rnbqkb1r/pppppp2/6p1/1B6/1P5p/4Q3/P1PP1P1P/RNB1K1NR b KQkq - 1 8,-81
3qk2r/p1pnpp1p/b1n5/4r1P1/8/2P2NP1/PPQbPP2/1RBK3R w k - 1 13,-171
rnbqkb1r/pppppppp/8/5n2/8/4P1P1/PPPP1P1P/RNBQKBNR w KQkq - 1 3,119
r1b1k1nr/6p1/p1p5/2b1ppqp/8/PPP1P1P1/3P1P1P/RNBK2NR w - - 0 14,-711
r1br4/4Np2/2pkp3/p6p/2PPP1p1/6P1/P3K2P/R4BR1 w - - 7 31,451
2b1kbnr/1p1p1pp1/1Bn1p3/3p3p/1P3P2/1QPP4/4K1PP/2r2BNR b k - 4 14,-32
rnbqk1nr/ppppppbp/8/6p1/8/2N3P1/PPPPPP1P/R1BQKBNR w KQkq - 2 3,119
4k1r1/2ppBppp/7n/8/1Ppnb3/2r3q1/1R2PN1P/4KB1R w K - 0 19,-594
4rNnr/2nk4/1pp3P1/p2P1P2/P6R/1b6/6P1/5BK1 b - - 1 30,386
rnbqkb1r/pppp1p1p/6pn/4p2P/8/1PP5/P2PPPP1/RNBQKBNR b KQkq - 0 4,95
q3kbnr/r3pppN/8/p1P5/R1pn3P/4P1P1/5PBR/1bBQK3 b k - 0 16,225
rn2kb1r/1pp1pppp/4q3/p7/QPP5/7P/P2PB3/1RB1K1NR b Kkq - 2 14,-252
1r5r/p2pn2p/n4p2/1p6/5Nk1/1P2Pb2/P2KB2P/R1B4R w - - 2 22,543
5Bn1/5Q2/n3p1k1/6p1/3K2P1/8/P1b5/8 b - - 2 40,600
3qkb2/2pppp1r/B1n4p/p5pn/P3P3/1r3N1P/2PP1PP1/RNBK3R b - - 0 13,614
rq2kr2/1p2ppn1/p2p3b/3p2n1/P6P/4PP1R/1PPK4/R1B3N1 b q - 6 22,1003
r3qb2/ppp1p2k/n6r/6pp/1n6/1PP1PP2/P2P2KP/1RBQ2R1 b - - 0 18,561
8/1p6/kp6/p4p1P/P2P2n1/1P1n4/R1P2p2/1N5K b - - 1 40,5000
r1bqkbnr/2ppp1pp/8/pB3p2/3P2P1/7N/PPPPKP1P/RNBQ3R b kq - 0 6,-203
rnbqkbnr/p1ppppp1/1p6/7p/5P2/1P4P1/P1PPP2P/RNBQKBNR b KQkq - 0 3,61
rnbqkb1r/p1p1pp1p/6p1/3p3n/1P1N3P/3P4/PP2PPP1/R1BQKBNR b KQkq - 1 7,-2
r1b5/1p4kp/8/p3Kp1P/2P5/3B4/P1r5/8 w - - 1 31,-596
6B1/r1Np2p1/6kP/2B5/7P/b4P2/8/3K2N1 w - - 2 30,772
rn3r2/1p2n2p/1Q2b1p1/p1p2p2/P1P5/1P2k3/1K2P3/R6N w - - 2 35,749
3k4/r4B2/1p1b1B2/p3p2p/1P4RP/P2P4/3PPK2/RN2Q3 b - - 2 23,-946
r1b1kbn1/pp1pp3/n1p3p1/q4p2/3P3r/1PP3P1/P3PP2/RNBQKB1R b KQq - 0 8,651
r1bqkbnr/p1pppp1p/2n3p1/1p6/2P5/N4P2/PP1PP1PP/R1BQKBNR w KQkq - 0 4,119
r1b1kbnr/p1q1p1pp/p2p1p2/2p5/3PP2P/N7/PPP2PPR/R1BQK1N1 w Qkq - 0 7,43
1r4n1/p1pp3k/b6P/8/2P1P3/P1P1q3/6P1/5K1R w - - 3 26,-5000
r2k2r1/6p1/1p3p1Q/2bppn2/P6P/4B3/4PK2/R4BNR b - - 1 29,-51
r7/p3kp2/7n/2PB2pP/8/4PP1R/P2P2P1/b4K2 w - - 0 26,636
2r2bn1/Bp2p2r/6pp/p6R/2P3k1/3P2PP/P4K2/5B1b b - - 0 30,644
r1bqkbnr/p1pppppp/n7/1p6/1P1P4/7P/P1P1PPP1/RNBQKBNR b KQkq - 0 3,-53
r1b2bn1/p1k3pr/4p3/1Np2p1p/3q1P2/P3P1PN/RP1P3P/2B1R1K1 b - - 1 18,237
5R2/5B2/8/pk2Nnpr/6p1/1P2P2P/8/5K2 b - - 0 37,-150
rq2kbnr/p1p1p1pp/3p4/1P3Q2/1P6/2N5/P2PPKPP/1RB2BNR w kq - 1 12,714
1NbR2n1/8/p3k3/nK4Br/8/N6P/PPP1P3/R7 w - - 0 25,668
4qknr/r1p4p/4pP2/1P2n3/p3P3/P2P3P/4B1P1/b1b1K1NR b - - 3 20,992
rn6/1q1p1k2/p1p1p2p/8/4b1PR/3P4/2P1P1B1/RN1QK1N1 w - - 0 20,631
2N2kr1/8/3p3p/2p1p1pP/8/3KP1P1/Rb6/2B4R w - - 0 39,743
rnbqkbnr/pppp1pp1/8/4p2p/8/1P5P/PBPPPPP1/RN1QKBNR b KQkq - 1 3,34
5b1r/p7/2k1pp2/1p5p/1R3P1N/1p4p1/3PK3/1r6 b - - 1 33,908
r1b3n1/pp3kr1/4p1p1/2bn3p/N3P3/5P1N/PP1P2PP/R1B2K1R w - - 3 17,290
1r3rk1/pppp1p2/3b4/5P1Q/P2n1B1P/2PP2K1/1P6/R4BN1 w - - 5 28,734
r2k1bnr/2p1q1pp/n3pp2/3p3P/1P2P3/6P1/2PPQPR1/1NB2K2 b - - 1 15,716
rn2kbr1/p1q1p1pp/bP1p4/8/6pP/P3PP2/1PP5/RNBnKBNR w q - 0 15,515
1r1k2n1/2r5/8/4P1P1/8/3p4/3K4/8 b - - 1 33,672
r2n4/5k1b/p1p5/8/P6P/R1b1P2K/3B4/8 w - - 3 38,-344
rnbqkb1r/2p1pp2/1p1p3p/p7/P4Bn1/2PP2PP/1PQ1P3/RN2KBNR w KQkq - 0 10,406
5b2/4p1r1/3k3n/2p2pPp/6N1/4P1P1/2K2PR1/5BN1 w - - 0 37,703
8/8/2k4N/2R5/b5p1/8/PP1B2P1/R4K2 b - - 0 37,-770
r7/1p3kbp/3p4/5NP1/p2q4/P7/3P4/4K1N1 b - - 3 37,865
r2qkbnr/ppp1pppp/n7/3p1b2/1P3P1P/P7/2PPP1P1/RNBQKBNR w KQkq - 1 5,36
rn6/k3b2N/2pp4/8/p2KP3/P7/2P5/R1B2N2 b - - 0 34,-335
1nbq2nr/rp2bkp1/8/2pp1p1p/2P1P3/B2P4/P2p1PPP/R2K1B1R w - - 0 14,-873
5bkB/4p2p/3p4/5p1P/P4Pn1/8/2K1B3/8 b - - 0 32,221
nrb2b1r/p6p/7n/2k5/3pP3/2P5/N3BPPP/1R2K2R b K - 3 25,742
1nbqkbnr/1p1pp1p1/B4p2/p7/3PP3/1P6/P1P1QPPP/RN2K1NR w KQ - 4 10,422
4k3/3npb2/3p1n2/4b3/1P2N2P/4P3/3NKP2/8 b - - 0 31,654
r1bk2n1/1p6/nB2p3/p6p/6pR/P4r2/1PP1KN2/RN6 b - - 3 29,-41
